site_no,state,name
01013500,ME,"Fish River near Fort Kent, Maine"
01022500,ME,"Narraguagus River at Cherryfield, Maine"
01030500,ME,"Mattawamkeag River near Mattawamkeag, Maine"
01031500,ME,"Piscataquis River near Dover-Foxcroft, Maine"
01047000,ME,"Carrabassett River near North Anson, Maine"
01052500,NH,"Diamond River near Wentworth Location, NH"
01054200,ME,"Wild River at Gilead, Maine"
01055000,ME,"Swift River near Roxbury, Maine"
01057000,ME,"Little Androscoggin River near South Paris, Maine"
01073000,NH,"OYSTER RIVER NEAR DURHAM, NH"
01078000,NH,"SMITH RIVER NEAR BRISTOL, NH"
01117468,RI,"BEAVER RIVER NEAR USQUEPAUG, RI"
01118300,CT,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT."
01121000,CT,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT."
01123000,CT,"LITTLE RIVER NEAR HANOVER, CT."
01134500,VT,"MOOSE RIVER AT VICTORY, VT"
01137500,NH,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH"
01139000,VT,"WELLS RIVER AT WELLS RIVER, VT"
01139800,VT,"EAST ORANGE BRANCH AT EAST ORANGE, VT"
01142500,VT,"AYERS BROOK AT RANDOLPH, VT"
01144000,VT,"WHITE RIVER AT WEST HARTFORD, VT"
01150900,VT,"OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT"
01162500,MA,"PRIEST BROOK NEAR WINCHENDON, MA"
01169000,MA,"NORTH RIVER AT SHATTUCKVILLE, MA"
01170100,MA,"GREEN RIVER NEAR COLRAIN, MA"
01181000,MA,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA"
01187300,MA,"HUBBARD RIVER NR. WEST HARTLAND, CT."
01195100,CT,"INDIAN RIVER NEAR CLINTON, CT."
01208990,CT,"SAUGATUCK RIVER NEAR REDDING, CT."
01333000,MA,"GREEN RIVER AT WILLIAMSTOWN, MA"
01350000,NY,SCHOHARIE CREEK AT PRATTSVILLE NY
01350080,NY,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY
01350140,NY,MINE KILL NEAR NORTH BLENHEIM NY
01362200,NY,ESOPUS CREEK AT ALLABEN NY
01365000,NY,RONDOUT CREEK NEAR LOWES CORNERS NY
01411300,NJ,TUCKAHOE RIVER AT HEAD OF RIVER NJ
01413500,NY,EAST BR DELAWARE R AT MARGARETVILLE NY
01414500,NY,MILL BROOK NEAR DUNRAVEN NY
01415000,NY,TREMPER KILL NEAR ANDES NY
01423000,NY,WEST BRANCH DELAWARE RIVER AT WALTON NY
01434025,NY,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY
01435000,NY,NEVERSINK RIVER NEAR CLARYVILLE NY
01439500,PA,"Bush Kill at Shoemakers, PA"
01440000,NJ,FLAT BROOK NEAR FLATBROOKVILLE NJ
01440400,PA,"Brodhead Creek near Analomink, PA"
01451800,PA,"Jordan Creek near Schnecksville, PA"
01466500,NJ,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ
01484100,DE,"BEAVERDAM BRANCH AT HOUSTON, DE"
01485500,MD,"NASSAWANGO CREEK NEAR SNOW HILL, MD"
01486000,MD,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD"
01487000,DE,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE"
01491000,MD,"CHOPTANK RIVER NEAR GREENSBORO, MD"
01510000,NY,OTSELIC RIVER AT CINCINNATUS NY
01516500,PA,"Corey Creek near Mainesburg, PA"
01518862,PA,"Cowanesque River at Westfield, PA"
01532000,PA,"Towanda Creek near Monroeton, PA"
01539000,PA,"Fishing Creek near Bloomsburg, PA"
01542810,PA,"Waldy Run near Emporium, PA"
01543000,PA,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA"
01543500,PA,"Sinnemahoning Creek at Sinnemahoning, PA"
01544500,PA,"Kettle Creek at Cross Fork, PA"
01545600,PA,"Young Womans Creek near Renovo, PA"
01547700,PA,"Marsh Creek at Blanchard, PA"
01548500,PA,"Pine Creek at Cedar Run, PA"
01549500,PA,"Blockhouse Creek near English Center, PA"
01550000,PA,"Lycoming Creek near Trout Run, PA"
01552000,PA,"Loyalsock Creek at Loyalsockville, PA"
01552500,PA,"Muncy Creek near Sonestown, PA"
01557500,PA,"Bald Eagle Creek at Tyrone, PA"
01564500,PA,"Aughwick Creek near Three Springs, PA"
01567500,PA,"Bixler Run near Loysville, PA"
01568000,PA,"Sherman Creek at Shermans Dale, PA"
01580000,MD,"DEER CREEK AT ROCKS, MD"
01583500,MD,"WESTERN RUN AT WESTERN RUN, MD"
01586610,MD,"MORGAN RUN NEAR LOUISVILLE, MD"
01591400,MD,"CATTAIL CREEK NEAR GLENWOOD, MD"
01594950,MD,"MCMILLAN F NEAR FORT PENDLETON, MD"
01596500,MD,"SAVAGE RIVER NEAR BARTON, MD"
01605500,WV,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV"
01606500,WV,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV"
01613050,PA,"Tonoloway Creek near Needmore, PA"
01620500,VA,"NORTH RIVER NEAR STOKESVILLE, VA"
01632000,VA,"N F SHENANDOAH RIVER AT COOTES STORE, VA"
01632900,VA,"SMITH CREEK NEAR NEW MARKET, VA"
01634500,VA,"CEDAR CREEK NEAR WINCHESTER, VA"
01638480,VA,"CATOCTIN CREEK AT TAYLORSTOWN, VA"
01639500,MD,"BIG PIPE CREEK AT BRUCEVILLE, MD"
01644000,VA,"GOOSE CREEK NEAR LEESBURG, VA"
01658500,VA,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA"
01664000,VA,"RAPPAHANNOCK RIVER AT REMINGTON, VA"
01666500,VA,"ROBINSON RIVER NEAR LOCUST DALE, VA"
01667500,VA,"RAPIDAN RIVER NEAR CULPEPER, VA"
01669000,VA,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA"
01669520,VA,"DRAGON SWAMP AT MASCOT, VA"
02011400,VA,"JACKSON RIVER NEAR BACOVA, VA"
02011460,VA,"BACK CREEK NEAR SUNRISE, VA"
02013000,VA,"DUNLAP CREEK NEAR COVINGTON, VA"
02014000,VA,"POTTS CREEK NEAR COVINGTON, VA"
02015700,VA,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA"
02016000,VA,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA"
02017500,VA,"JOHNS CREEK AT NEW CASTLE, VA"
02018000,VA,"CRAIG CREEK AT PARR, VA"
02027000,VA,"TYE RIVER NEAR LOVINGSTON, VA"
02027500,VA,"PINEY RIVER AT PINEY RIVER, VA"
02028500,VA,"ROCKFISH RIVER NEAR GREENFIELD, VA"
02038850,VA,"HOLIDAY CREEK NEAR ANDERSONVILLE, VA"
02046000,VA,"STONY CREEK NEAR DINWIDDIE, VA"
